Names of Unit,Year,Dacoity,Robbery, Murder, Speedy Trial, Riot, Woman & Child Repression, Kidnapping, Police Assault, Burglary, Theft, Other Cases,Arms Act, Explosive Act, Narcotics,Smuggling,Total Cases
Mymensingh Range,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong Range,2013,143,132,758,262,56,3532,130,336,425,960,15863,320,91,4801,354,28163
Sylhet Range,2013,53,35,266,75,21,834,37,42,109,398,5773,27,3,1620,186,9479
Khulna Range,2013,76,126,520,181,1,2309,153,99,356,720,10968,253,148,2286,1873,20069
Barisal Range,2013,40,31,209,115,1,1185,62,44,154,244,6920,27,15,502,28,9577
Rajshahi Range,2013,47,63,480,168,0,2161,63,99,134,513,10810,163,100,2716,1896,19413
Rangpur Range,2013,18,62,345,163,0,2389,54,50,142,533,10032,27,27,1213,1120,16175
Railway Range,2013,3,8,38,3,0,4,2,1,2,98,266,3,2,264,81,775
GMP,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMP,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMP,2014,47,265,262,332,7,1611,176,104,650,2130,6219,225,104,7063,222,19417
CMP,2014,5,63,120,52,17,387,53,31,97,310,1457,121,10,2488,56,5267
KMP,2014,2,29,22,17,0,206,11,3,44,101,522,34,2,599,10,1602
RMP,2014,0,28,22,20,6,169,21,14,65,106,569,18,27,395,126,1586
BMP,2014,7,16,15,3,0,94,3,9,35,48,375,16,1,759,5,1386
SMP,2014,21,29,44,32,13,165,4,26,34,142,728,12,4,311,18,1583
Dhaka Range,2014,184,221,1395,456,1,4907,203,127,619,1582,21716,331,64,12175,555,44536
Mymensingh Range,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong Range,2014,138,169,792,193,9,4240,159,228,435,939,15503,490,53,6817,285,30450
Sylhet Range,2014,54,30,277,54,11,745,27,41,93,354,5468,38,6,2026,202,9426
Khulna Range,2014,80,125,520,277,15,2351,77,53,310,585,10247,381,152,2935,1766,19874
Barisal Range,2014,36,37,200,51,0,1478,60,8,163,225,6892,36,19,813,31,10049
Rajshahi Range,2014,55,73,463,138,0,2359,81,26,137,500,10353,249,64,3969,2070,20537
Rangpur Range,2014,21,62,349,88,0,2573,45,32,126,549,10181,62,11,1756,1332,17187
Railway Range,2014,1,8,33,3,0,6,0,0,1,89,170,10,3,395,110,829
GMP,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMP,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMP,2015,45,205,239,226,26,1550,146,118,642,1711,5795,263,195,8365,201,19727
CMP,2015,5,61,105,67,25,357,51,30,128,262,1497,101,40,2090,43,4862
KMP,2015,9,15,30,19,0,146,7,3,49,95,574,21,13,659,2,1642
RMP,2015,0,19,20,12,4,131,8,18,39,66,463,23,30,733,179,1745
BMP,2015,2,11,15,5,0,110,4,8,33,50,371,17,0,557,2,1185
SMP,2015,19,14,37,22,4,139,10,8,25,89,819,11,5,183,8,1393
Dhaka Range,2015,151,164,1239,563,0,5042,204,118,472,1565,20501,365,68,12405,520,43377
Mymensingh Range,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong Range,2015,107,133,688,151,28,3886,98,163,406,906,13618,498,59,8012,224,28977
Sylhet Range,2015,26,26,252,70,3,943,33,43,76,326,5442,54,11,1575,211,9091
Khulna Range,2015,41,112,439,151,2,2478,79,41,250,513,8972,330,119,3787,1217,18531
Barisal Range,2015,31,47,175,58,1,1497,53,20,156,266,6767,26,22,1019,27,10165
Rajshahi Range,2015,37,66,446,159,0,2339,70,40,72,441,9259,313,144,5797,2072,21255
Rangpur Range,2015,17,50,328,44,0,2587,34,23,146,460,9898,53,10,1988,1355,16993
Railway Range,2015,2,10,24,2,0,5,8,1,1,71,141,4,9,496,118,892
GMP,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMP,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMP,2016,23,131,165,217,1,1651,103,72,547,1516,5407,244,88,9627,108,19900
CMP,2016,6,58,90,63,11,344,30,16,88,196,1634,160,6,3457,31,6190
KMP,2016,6,11,36,19,0,158,10,4,45,78,514,17,7,801,4,1710
RMP,2016,5,18,15,5,5,108,11,14,40,66,357,13,12,1114,173,1956
BMP,2016,6,7,16,8,0,105,2,4,41,45,444,15,0,655,1,1349
SMP,2016,20,26,38,15,5,235,10,13,27,96,724,17,0,164,8,1398
Dhaka Range,2016,118,127,881,162,1,3703,139,99,347,1114,13859,356,110,11366,234,32616
Mymensingh Range,2016,4,15,221,97,0,825,16,29,57,256,4893,36,8,3099,118,9674
Chittagong Range,2016,71,105,662,138,10,2612,106,99,367,821,12461,561,35,8998,161,27207
Sylhet Range,2016,20,20,236,40,12,1116,18,46,69,310,5051,45,8,1723,237,8951
Khulna Range,2016,47,80,370,88,7,1892,65,54,220,446,9315,374,109,4879,649,18595
Barisal Range,2016,29,36,166,52,1,1538,38,22,155,187,6130,58,12,1679,12,10115
Rajshahi Range,2016,30,49,383,115,0,1974,60,17,75,477,8304,345,82,9703,1555,23169
Rangpur Range,2016,22,29,292,32,0,2025,27,29,133,453,8523,45,10,4425,1278,17323
Railway Range,2016,1,10,20,1,0,160,4,3,2,49,131,5,0,518,111,1015
GMP,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMP,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMP,2017,20,103,218,202,7,1779,85,132,554,1197,5315,157,108,13638,115,23630
CMP,2017,2,71,70,80,0,350,7,21,92,267,1547,231,2,4260,44,7044
KMP,2017,6,9,25,19,0,248,4,6,35,50,443,25,4,1706,32,2612
RMP,2017,2,34,8,15,2,120,17,14,33,50,485,18,9,2021,189,3017
BMP,2017,1,8,16,4,0,89,7,4,32,46,388,11,1,921,4,1532
SMP,2017,5,18,32,60,3,120,6,12,25,101,669,13,0,301,15,1380
Dhaka Range,2017,99,132,828,131,0,3598,123,95,360,973,12787,290,43,19646,197,39302
Mymensingh Range,2017,8,16,248,107,0,1071,26,18,74,355,5897,36,4,5398,178,13436
Chittagong Range,2017,64,74,626,114,0,1889,77,112,360,786,11676,581,16,12555,190,29120
Sylhet Range,2017,31,31,303,30,2,861,19,40,103,399,4638,49,7,2246,223,8982
Khulna Range,2017,33,51,338,62,9,1960,45,26,152,420,8917,342,89,9764,813,23021
Barisal Range,2017,22,36,169,62,0,1451,20,16,161,182,5763,59,8,3441,5,11395
Rajshahi Range,2017,36,38,368,132,0,1763,43,28,79,470,7817,343,62,12237,1240,24656
Rangpur Range,2017,7,29,281,25,0,1771,30,16,103,477,8203,50,8,10262,2218,23480
Railway Range,2017,0,7,19,2,0,3,0,3,0,60,100,3,1,588,136,922
GMP,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
